prod_descricao;prod_marca;prod_price;prod_dataref;spo-temp;spo-umid;spo-uv;bra-temp;bra-umid;bra-uv;pve-temp;pve-umid;pve-uv;flo-temp;flo-umid;flo-uv;rj-temp;rj-umid;rj-uv;periodo_dia
Eucerin Sun Pigment Control FPS 60 Protetor Solar Facial 50ml - 50ml; Eucerin;93.42;23/08/2024 21:36;17.2;77;1;26.3;32;1;31.3;49;1;15.3;77;1;27.0;54;1;noite
Eucerin Sun Pigment Control FPS 60 Protetor Solar Facial 50ml - 50ml; Eucerin;89.9;20/09/2024 09:50;25.4;61;9;26.1;42;8;30.1;59;10;20.3;94;6;26.1;70;8;manha
Eucerin Sun Pigment Control FPS 60 Protetor Solar Facial 50ml - 50ml; Eucerin;89.9;17/09/2024 20:07;15.3;82;1;28.2;33;1;31.1;59;1;19.2;83;1;22.0;73;1;noite
Eucerin Sun Pigment Control FPS 60 Protetor Solar Facial 50ml - 50ml; Eucerin;89.9;16/09/2024 20:16;15.4;88;1;29.1;29;1;31.3;59;1;17.1;83;1;22.3;88;1;noite
Eucerin Sun Pigment Control FPS 60 Protetor Solar Facial 50ml - 50ml; Eucerin;89.9;16/09/2024 08:48;16.2;94;5;20.3;49;8;25.2;79;8;16.3;94;4;24.2;83;8;manha
Eucerin Sun Pigment Control FPS 60 Protetor Solar Facial 50ml - 50ml; Eucerin;109.9;09/09/2024 11:34;33.2;23;9;29.3;19;8;35.3;44;11;21.1;83;7;28.3;66;8;manha
Eucerin Sun Pigment Control FPS 60 Protetor Solar Facial 50ml - 50ml; Eucerin;93.42;23/08/2024 15:07;32.4;17;9;31.1;22;9;38.4;29;11;16.1;82;5;34.1;34;9;tarde
Eucerin Sun Pigment Control FPS 60 Protetor Solar Facial 50ml - 50ml; Eucerin;109.9;11/09/2024 14:06;32.1;21;9;29.2;29;8;35.2;47;11;28.0;62;8;31.0;55;9;tarde
Eucerin Sun Pigment Control FPS 60 Protetor Solar Facial 50ml - 50ml; Eucerin;93.42;01/09/2024 14:45;31.3;21;9;30.3;21;8;37.1;35;11;23.2;69;7;29.2;52;8;tarde
Eucerin Sun Pigment Control FPS 60 Protetor Solar Facial 50ml - 50ml; Eucerin;109.9;06/09/2024 08:33;18.3;77;5;28.1;28;8;28.0;62;9;16.4;68;6;23.4;89;6;manha
Eucerin Sun Pigment Control FPS 60 Protetor Solar Facial 50ml - 50ml; Eucerin;89.9;18/09/2024 11:27;19.2;64;7;28.2;40;8;31.4;52;10;21.0;69;5;24.1;61;8;manha
Eucerin Sun Pigment Control FPS 60 Protetor Solar Facial 50ml - 50ml; Eucerin;89.9;17/09/2024 09:00;16.3;82;5;26.2;39;8;27.2;70;9;19.1;73;6;20.1;100;6;manha
Eucerin Sun Pigment Control FPS 60 Protetor Solar Facial 50ml - 50ml; Eucerin;93.42;30/08/2024 18:38;26.3;18;1;27.3;32;7;34.4;41;9;18.4;77;1;23.4;65;1;noite
Eucerin Sun Pigment Control FPS 60 Protetor Solar Facial 50ml - 50ml; Eucerin;109.9;04/09/2024 18:56;28.3;25;1;29.3;19;1;33.3;56;10;20.4;83;1;24.1;89;1;noite
Gel Creme Facial Antissinais Neutrogena - Bright Boost - 50g; Neutrogena;84.9;24/08/2024 22:49;15.3;94;1;22.1;46;1;29.4;66;1;12.0;71;1;23.3;78;1;noite
Gel Creme Facial Antissinais Neutrogena - Bright Boost - 50g; Neutrogena;84.9;23/08/2024 21:36;17.2;77;1;26.3;32;1;31.3;49;1;15.3;77;1;27.0;54;1;noite
Gel Creme Facial Antissinais Neutrogena - Bright Boost - 50g; Neutrogena;84.9;04/09/2024 07:32;18.2;88;8;14.4;59;8;25.3;89;7;16.4;88;6;21.4;88;7;manha
Gel Creme Hidratante para a área dos Olhos Hydro Boost Neutrogena - 15g; Neutrogena;65.9;29/08/2024 18:35;24.4;44;1;26.2;39;1;34.1;41;9;20.3;73;1;23.0;69;1;noite
Gel Creme Hidratante para a área dos Olhos Hydro Boost Neutrogena - 15g; Neutrogena;65.9;30/08/2024 08:40;20.1;60;8;20.0;56;7;25.4;79;8;19.1;83;7;20.3;88;7;manha
Gel Creme Hidratante para a área dos Olhos Hydro Boost Neutrogena - 15g; Neutrogena;65.9;25/08/2024 13:26;12.3;82;4;29.3;29;9;29.2;45;9;16.3;51;5;20.3;83;6;tarde
Gel Creme Hidratante para a área dos Olhos Hydro Boost Neutrogena - 15g; Neutrogena;65.9;30/08/2024 18:38;26.3;18;1;27.3;32;7;34.4;41;9;18.4;77;1;23.4;65;1;noite
Gel Creme Hidratante para a área dos Olhos Hydro Boost Neutrogena - 15g; Neutrogena;65.9;29/08/2024 10:47;17.3;72;7;22.2;61;7;26.3;65;9;21.4;60;7;21.3;73;7;manha
