"prod_descricao";"prod_marca";"prod_URL";"prod_price";"prod_detalhe";"prod_comentario";"prod_avaliacao";"prod_dataref";"spo-temp";"spo-umid";"spo-uv";"bra-temp";"bra-umid";"bra-uv";"pve-temp";"pve-umid";"pve-uv";"flo-temp";"flo-umid";"flo-uv";"rj-temp";"rj-umid";"rj-uv"
"Protetor Solar Facial Neutrogena Sun Fresh FPS 30 - 40g";"Marca Neutrogena";"https://recs.algorecs.com/rrserver/api/find/v1/track/click/c85912f892c73e30?a=c85912f892c73e30&vg=abc1e575-06c4-4c91-ae9c-5a647eaa2e41&pti=2&pa=find&hpi=0&stn=PersonalizedProductSearchAndBrowse&stid=184&rti=2&sgs=&u=&mvtId=-1&mvtTs=1726487316001&uguid=abbde575-06c4-4c91-ae9c-5a647eaa2e41&channelId=WEB&s=6c72ea16-7524-4e59-884c-7e6baef1b385&pg=-1&page=1&query=protetor+solar+facial&lang=pt&searchConfigId=5b44b8a0947195000ef22caf&searchType=CATALOG&p=45241&ind=10&ct=https%3A%2F%2Fwww.epocacosmeticos.com.br%2Fprotetor-solar-facial-neutrogena-sun-fresh-fps-30%2Fp&redirect=true";"49,90";"SEM DETALHE";"SEM COMENTARIOS";0;"2024-09-16 08:48:45.202779";16.2;94;5;20.3;49;8;25.2;79;8;16.3;94;4;24.2;83;8
"Protetor Solar Facial Episol SEC OC FPS 60 - Mantecorp Skincare - 60g";"Marca Mantecorp Skincare";"https://recs.algorecs.com/rrserver/api/find/v1/track/click/c85912f892c73e30?a=c85912f892c73e30&vg=abc1e575-06c4-4c91-ae9c-5a647eaa2e41&pti=2&pa=find&hpi=0&stn=PersonalizedProductSearchAndBrowse&stid=184&rti=2&sgs=&u=&mvtId=-1&mvtTs=1726487316001&uguid=abbde575-06c4-4c91-ae9c-5a647eaa2e41&channelId=WEB&s=6c72ea16-7524-4e59-884c-7e6baef1b385&pg=-1&page=1&query=protetor+solar+facial&lang=pt&searchConfigId=5b44b8a0947195000ef22caf&searchType=CATALOG&p=37446&ind=11&ct=https%3A%2F%2Fwww.epocacosmeticos.com.br%2Fprotetor-solar-facial-episol-sec-oc-fps-60%2Fp&redirect=true";"69,90";"SEM DETALHE";"SEM COMENTARIOS";0;"2024-09-16 08:48:45.202779";16.2;94;5;20.3;49;8;25.2;79;8;16.3;94;4;24.2;83;8
"Protetor Solar Facial Para Pele Oleosa Neutrogena Sun Fresh Derm Care FPS70 - Clara";"Marca Neutrogena";"https://recs.algorecs.com/rrserver/api/find/v1/track/click/c85912f892c73e30?a=c85912f892c73e30&vg=abc1e575-06c4-4c91-ae9c-5a647eaa2e41&pti=2&pa=find&hpi=0&stn=PersonalizedProductSearchAndBrowse&stid=184&rti=2&sgs=&u=&mvtId=-1&mvtTs=1726487316001&uguid=abbde575-06c4-4c91-ae9c-5a647eaa2e41&channelId=WEB&s=6c72ea16-7524-4e59-884c-7e6baef1b385&pg=-1&page=1&query=protetor+solar+facial&lang=pt&searchConfigId=5b44b8a0947195000ef22caf&searchType=CATALOG&p=43256&ind=12&ct=https%3A%2F%2Fwww.epocacosmeticos.com.br%2Fprotetor-solar-com-cor-neutrogena-sun-fresh-oily-skin-fps-70%2Fp&redirect=true";"55,90";"SEM DETALHE";"SEM COMENTARIOS";0;"2024-09-16 08:48:45.202779";16.2;94;5;20.3;49;8;25.2;79;8;16.3;94;4;24.2;83;8
"Protetor Solar Facial L'Oréal Paris Solar Expertise Antirrugas Com Cor FPS60 - 40g";"Marca L'Oréal Paris";"https://recs.algorecs.com/rrserver/api/find/v1/track/click/c85912f892c73e30?a=c85912f892c73e30&vg=abc1e575-06c4-4c91-ae9c-5a647eaa2e41&pti=2&pa=find&hpi=0&stn=PersonalizedProductSearchAndBrowse&stid=184&rti=2&sgs=&u=&mvtId=-1&mvtTs=1726487316001&uguid=abbde575-06c4-4c91-ae9c-5a647eaa2e41&channelId=WEB&s=6c72ea16-7524-4e59-884c-7e6baef1b385&pg=-1&page=1&query=protetor+solar+facial&lang=pt&searchConfigId=5b44b8a0947195000ef22caf&searchType=CATALOG&p=33700&ind=13&ct=https%3A%2F%2Fwww.epocacosmeticos.com.br%2Fsolar-expertise-facial-antirrugas-fps-60-l-oreal-paris-protetor-solar-com-cor%2Fp&redirect=true";"46,62";"SEM DETALHE";"SEM COMENTARIOS";0;"2024-09-16 08:48:45.202779";16.2;94;5;20.3;49;8;25.2;79;8;16.3;94;4;24.2;83;8
"Protetor Solar Facial L'Oréal Paris Solar Expertise Antirrugas FPS 60 - 40g";"Marca L'Oréal Paris";"https://recs.algorecs.com/rrserver/api/find/v1/track/click/c85912f892c73e30?a=c85912f892c73e30&vg=abc1e575-06c4-4c91-ae9c-5a647eaa2e41&pti=2&pa=find&hpi=0&stn=PersonalizedProductSearchAndBrowse&stid=184&rti=2&sgs=&u=&mvtId=-1&mvtTs=1726487316001&uguid=abbde575-06c4-4c91-ae9c-5a647eaa2e41&channelId=WEB&s=6c72ea16-7524-4e59-884c-7e6baef1b385&pg=-1&page=1&query=protetor+solar+facial&lang=pt&searchConfigId=5b44b8a0947195000ef22caf&searchType=CATALOG&p=6091&ind=14&ct=https%3A%2F%2Fwww.epocacosmeticos.com.br%2Fsolar-expertise-facial-antirrugas-fps-60-l-oreal-paris-protetor-solar%2Fp&redirect=true";"46,20";"SEM DETALHE";"SEM COMENTARIOS";0;"2024-09-16 08:48:45.202779";16.2;94;5;20.3;49;8;25.2;79;8;16.3;94;4;24.2;83;8
"Protetor Solar Facial Bioderma Photoderm Cover Touch FPS 50+ - Claro";"Marca Bioderma";"https://recs.algorecs.com/rrserver/api/find/v1/track/click/c85912f892c73e30?a=c85912f892c73e30&vg=abc1e575-06c4-4c91-ae9c-5a647eaa2e41&pti=2&pa=find&hpi=0&stn=PersonalizedProductSearchAndBrowse&stid=184&rti=2&sgs=&u=&mvtId=-1&mvtTs=1726487316001&uguid=abbde575-06c4-4c91-ae9c-5a647eaa2e41&channelId=WEB&s=6c72ea16-7524-4e59-884c-7e6baef1b385&pg=-1&page=1&query=protetor+solar+facial&lang=pt&searchConfigId=5b44b8a0947195000ef22caf&searchType=CATALOG&p=42453&ind=15&ct=https%3A%2F%2Fwww.epocacosmeticos.com.br%2Fprotetor-solar-facial-bioderma-photoderm-cover-touch-fps-50-cor%2Fp&redirect=true";"88,13";"SEM DETALHE";"SEM COMENTARIOS";0;"2024-09-16 08:48:45.202779";16.2;94;5;20.3;49;8;25.2;79;8;16.3;94;4;24.2;83;8
"Protetor Solar Facial FPS 70 Clareador Anasol - 60g";"Marca Anasol";"https://recs.algorecs.com/rrserver/api/find/v1/track/click/c85912f892c73e30?a=c85912f892c73e30&vg=abc1e575-06c4-4c91-ae9c-5a647eaa2e41&pti=2&pa=find&hpi=0&stn=PersonalizedProductSearchAndBrowse&stid=184&rti=2&sgs=&u=&mvtId=-1&mvtTs=1726487316001&uguid=abbde575-06c4-4c91-ae9c-5a647eaa2e41&channelId=WEB&s=6c72ea16-7524-4e59-884c-7e6baef1b385&pg=-1&page=1&query=protetor+solar+facial&lang=pt&searchConfigId=5b44b8a0947195000ef22caf&searchType=CATALOG&p=36137&ind=16&ct=https%3A%2F%2Fwww.epocacosmeticos.com.br%2Fprotetor-solar-facial-fps-70-clareador-anasol%2Fp&redirect=true";"54,90";"SEM DETALHE";"SEM COMENTARIOS";0;"2024-09-16 08:48:45.202779";16.2;94;5;20.3;49;8;25.2;79;8;16.3;94;4;24.2;83;8
"Protetor Solar Facial Shiseido – Expert Sun Protection Lotion FPS50+ - 150ml";"Marca Shiseido";"https://recs.algorecs.com/rrserver/api/find/v1/track/click/c85912f892c73e30?a=c85912f892c73e30&vg=abc1e575-06c4-4c91-ae9c-5a647eaa2e41&pti=2&pa=find&hpi=0&stn=PersonalizedProductSearchAndBrowse&stid=184&rti=2&sgs=&u=&mvtId=-1&mvtTs=1726487316001&uguid=abbde575-06c4-4c91-ae9c-5a647eaa2e41&channelId=WEB&s=6c72ea16-7524-4e59-884c-7e6baef1b385&pg=-1&page=1&query=protetor+solar+facial&lang=pt&searchConfigId=5b44b8a0947195000ef22caf&searchType=CATALOG&p=44170&ind=17&ct=https%3A%2F%2Fwww.epocacosmeticos.com.br%2Fprotetor-solar-facial-shiseido-expert-sun-protection-lotion-fps50%2Fp&redirect=true";"288,00 em 4x de R$ 72,00";"SEM DETALHE";"SEM COMENTARIOS";0;"2024-09-16 08:48:45.202779";16.2;94;5;20.3;49;8;25.2;79;8;16.3;94;4;24.2;83;8
"Protetor Solar Facial L'Oréal Paris UV Defender Antioleosidade FPS60 - 40g";"Marca L'Oréal Paris";"https://recs.algorecs.com/rrserver/api/find/v1/track/click/c85912f892c73e30?a=c85912f892c73e30&vg=abc1e575-06c4-4c91-ae9c-5a647eaa2e41&pti=2&pa=find&hpi=0&stn=PersonalizedProductSearchAndBrowse&stid=184&rti=2&sgs=&u=&mvtId=-1&mvtTs=1726487316001&uguid=abbde575-06c4-4c91-ae9c-5a647eaa2e41&channelId=WEB&s=6c72ea16-7524-4e59-884c-7e6baef1b385&pg=-1&page=1&query=protetor+solar+facial&lang=pt&searchConfigId=5b44b8a0947195000ef22caf&searchType=CATALOG&p=43158&ind=18&ct=https%3A%2F%2Fwww.epocacosmeticos.com.br%2Fprotetor-solar-antioleosidade-loreal-paris-uv-defender-antioleosidade%2Fp&redirect=true";"42,69";"SEM DETALHE";"SEM COMENTARIOS";0;"2024-09-16 08:48:45.202779";16.2;94;5;20.3;49;8;25.2;79;8;16.3;94;4;24.2;83;8
"Protetor Solar Facial Episol Color- Mantecorp Skincare Fps 30 - Pele Clara";"Marca Mantecorp Skincare";"https://recs.algorecs.com/rrserver/api/find/v1/track/click/c85912f892c73e30?a=c85912f892c73e30&vg=abc1e575-06c4-4c91-ae9c-5a647eaa2e41&pti=2&pa=find&hpi=0&stn=PersonalizedProductSearchAndBrowse&stid=184&rti=2&sgs=&u=&mvtId=-1&mvtTs=1726487316001&uguid=abbde575-06c4-4c91-ae9c-5a647eaa2e41&channelId=WEB&s=6c72ea16-7524-4e59-884c-7e6baef1b385&pg=-1&page=1&query=protetor+solar+facial&lang=pt&searchConfigId=5b44b8a0947195000ef22caf&searchType=CATALOG&p=12113&ind=19&ct=https%3A%2F%2Fwww.epocacosmeticos.com.br%2Fprotetor-solar-facial-fps-30-episol-color-protetor-solar%2Fp&redirect=true";"83,90";"SEM DETALHE";"SEM COMENTARIOS";0;"2024-09-16 08:48:45.202779";16.2;94;5;20.3;49;8;25.2;79;8;16.3;94;4;24.2;83;8
"Protetor Solar Facial Neostrata Minesol Oil Control FPS 70 - Claro";"Marca Neostrata";"https://recs.algorecs.com/rrserver/api/find/v1/track/click/c85912f892c73e30?a=c85912f892c73e30&vg=abc1e575-06c4-4c91-ae9c-5a647eaa2e41&pti=2&pa=find&hpi=0&stn=PersonalizedProductSearchAndBrowse&stid=184&rti=2&sgs=&u=&mvtId=-1&mvtTs=1726487316001&uguid=abbde575-06c4-4c91-ae9c-5a647eaa2e41&channelId=WEB&s=6c72ea16-7524-4e59-884c-7e6baef1b385&pg=-1&page=1&query=protetor+solar+facial&lang=pt&searchConfigId=5b44b8a0947195000ef22caf&searchType=CATALOG&p=42831&ind=20&ct=https%3A%2F%2Fwww.epocacosmeticos.com.br%2Fprotetor-solar-com-cor-neostrata-mineol-oil-control-fps-70%2Fp&redirect=true";"83,19";"SEM DETALHE";"SEM COMENTARIOS";0;"2024-09-16 08:48:45.202779";16.2;94;5;20.3;49;8;25.2;79;8;16.3;94;4;24.2;83;8
"Eucerin Sun Pigment Control FPS 60 Protetor Solar Facial 50ml - 50ml";"Marca Eucerin";"https://recs.algorecs.com/rrserver/api/find/v1/track/click/c85912f892c73e30?a=c85912f892c73e30&vg=abc1e575-06c4-4c91-ae9c-5a647eaa2e41&pti=2&pa=find&hpi=0&stn=PersonalizedProductSearchAndBrowse&stid=184&rti=2&sgs=&u=&mvtId=-1&mvtTs=1726487316001&uguid=abbde575-06c4-4c91-ae9c-5a647eaa2e41&channelId=WEB&s=6c72ea16-7524-4e59-884c-7e6baef1b385&pg=-1&page=1&query=protetor+solar+facial&lang=pt&searchConfigId=5b44b8a0947195000ef22caf&searchType=CATALOG&p=41972&ind=21&ct=https%3A%2F%2Fwww.epocacosmeticos.com.br%2Fprotetor-solar-eucerin-sun-fluido-anti-pigment-fps-60%2Fp&redirect=true";"89,90";"SEM DETALHE";"SEM COMENTARIOS";0;"2024-09-16 08:48:45.202779";16.2;94;5;20.3;49;8;25.2;79;8;16.3;94;4;24.2;83;8
"Protetor Solar Facial Eucerin - Sun Gel-Creme Oil Control FPS 60 - 52g";"Marca Eucerin";"https://recs.algorecs.com/rrserver/api/find/v1/track/click/c85912f892c73e30?a=c85912f892c73e30&vg=abc1e575-06c4-4c91-ae9c-5a647eaa2e41&pti=2&pa=find&hpi=0&stn=PersonalizedProductSearchAndBrowse&stid=184&rti=2&sgs=&u=&mvtId=-1&mvtTs=1726487316001&uguid=abbde575-06c4-4c91-ae9c-5a647eaa2e41&channelId=WEB&s=6c72ea16-7524-4e59-884c-7e6baef1b385&pg=-1&page=1&query=protetor+solar+facial&lang=pt&searchConfigId=5b44b8a0947195000ef22caf&searchType=CATALOG&p=19504&ind=22&ct=https%3A%2F%2Fwww.epocacosmeticos.com.br%2Fprotetor-solar-facial-eucerin-sun-gel-creme-oil-control-fps-60%2Fp&redirect=true";"84,92";"SEM DETALHE";"SEM COMENTARIOS";0;"2024-09-16 08:48:45.202779";16.2;94;5;20.3;49;8;25.2;79;8;16.3;94;4;24.2;83;8
"Protetor Solar Facial Hidratante Garnier Uniform & Matte Vitamina C FPS30 - 15g";"Marca Garnier Skin";"https://recs.algorecs.com/rrserver/api/find/v1/track/click/c85912f892c73e30?a=c85912f892c73e30&vg=abc1e575-06c4-4c91-ae9c-5a647eaa2e41&pti=2&pa=find&hpi=0&stn=PersonalizedProductSearchAndBrowse&stid=184&rti=2&sgs=&u=&mvtId=-1&mvtTs=1726487316001&uguid=abbde575-06c4-4c91-ae9c-5a647eaa2e41&channelId=WEB&s=6c72ea16-7524-4e59-884c-7e6baef1b385&pg=-1&page=1&query=protetor+solar+facial&lang=pt&searchConfigId=5b44b8a0947195000ef22caf&searchType=CATALOG&p=38278&ind=23&ct=https%3A%2F%2Fwww.epocacosmeticos.com.br%2Fhidratante-facial-matte-garnier-skin-uniform-matte%2Fp&redirect=true";"28,06";"SEM DETALHE";"SEM COMENTARIOS";0;"2024-09-16 08:48:45.202779";16.2;94;5;20.3;49;8;25.2;79;8;16.3;94;4;24.2;83;8
