prod-descr;prod-marca;prod-preco;data_ref;spo-temp;spo-umid;spo-uv;bra-temp;bra-umid;bra-uv;pve-temp;pve-umid;pve-uv;flo-temp;flo-umid;flo-uv;rj-temp;rj-umid;rj-uv;periodo_dia
 Adcos  Fotoproteção Diária Ultra FPS 55 - Protetor Solar 120g ; Adcos ;204.36;2024-08-27 18:26;12.1;71;1;28.3;35;7;32.4;34;10;15.0;72;1;19.0;64;1;noite
 Adcos  Fotoproteção Diária Ultra FPS 55 - Protetor Solar 120g ; Adcos ;204.36;2024-09-02 21:16;17.1;83;1;25.0;24;1;29.0;62;1;16.2;82;1;22.1;83;1;noite
 Adcos  Fotoproteção Diária Ultra FPS 55 - Protetor Solar 120g ; Adcos ;237.9;2024-08-22 15:08;30.3;25;9;30.1;21;8;35.0;39;11;24.2;74;7;30.0;55;8;tarde
 Adcos  Fotoproteção Diária Ultra FPS 55 - Protetor Solar 120g ; Adcos ;237.9;2024-08-20 18:21;21.0;64;1;28.2;20;7;29.3;55;10;20.2;88;1;22.3;83;1;noite
 Adcos  Fotoproteção Diária Ultra FPS 55 - Protetor Solar 120g ; Adcos ;194.8;2024-09-18 11:49;19.2;64;7;28.2;40;8;31.4;52;10;21.0;69;5;24.1;61;8;manha
 Adcos  Fotoproteção Diária Ultra FPS 55 - Protetor Solar 120g ; Adcos ;204.36;2024-09-01 21:10;27.1;26;1;26.1;28;1;30.4;46;1;18.3;77;1;24.1;83;1;noite
 Adcos  Fotoproteção Diária Ultra FPS 55 - Protetor Solar 120g ; Adcos ;194.8;2024-09-10 09:24;23.1;44;8;23.2;44;8;27.0;84;8;22.3;83;7;24.3;74;8;manha
 Adcos  Fotoproteção Diária Ultra FPS 55 - Protetor Solar 120g ; Adcos ;194.8;2024-09-09 14:07;33.4;23;9;29.3;19;8;35.2;44;11;21.3;83;7;33.4;39;8;tarde
 Adcos  Fotoproteção Diária Ultra FPS 55 - Protetor Solar 120g ; Adcos ;204.36;2024-08-25 11:35;13.4;77;4;26.1;39;9;28.2;51;9;14.3;59;5;21.2;78;6;manha
 Adcos  Fotoproteção Diária Ultra FPS 55 - Protetor Solar 120g ; Adcos ;194.8;2024-09-13 11:25;29.1;29;9;28.1;37;8;33.0;53;10;22.4;78;8;30.2;55;9;manha
 Adcos  Fotoproteção Diária Ultra FPS 55 - Protetor Solar 120g ; Adcos ;204.36;2024-09-02 07:58;18.1;83;7;15.2;59;7;24.2;83;1;14.3;94;4;23.1;69;7;manha
 Adcos  Fotoproteção Diária Ultra FPS 55 - Protetor Solar 120g ; Adcos ;237.9;2024-08-22 06:59;17.2;72;1;11.3;71;1;24.2;83;1;19.2;88;1;20.3;100;1;manha
 Adcos  Fotoproteção Diária Ultra FPS 55 - Protetor Solar 120g ; Adcos ;194.8;2024-09-20 18:28;29.2;37;6;29.2;31;8;37.1;29;11;19.2;94;5;27.1;70;1;noite
 Adcos  Fotoproteção Diária Ultra FPS 55 - Protetor Solar 120g ; Adcos ;204.36;2024-08-29 10:56;17.3;72;7;22.2;61;7;26.3;65;9;21.4;60;7;21.3;73;7;manha
 Adcos  Fotoproteção Diária Ultra FPS 55 - Protetor Solar 120g ; Adcos ;194.8;2024-09-12 20:37;27.1;26;1;26.4;39;1;32.4;52;1;21.3;78;1;29.4;55;1;noite
