"prod-descr";"prod-marca";"prod-URL";"prod-preco";"prod-detalhe";"prod-comentario";"prod-aval";"data_ref";"spo-temp";"spo-umid";"spo-uv";"bra-temp";"bra-umid";"bra-uv";"pve-temp";"pve-umid";"pve-uv";"flo-temp";"flo-umid";"flo-uv";"rj-temp";"rj-umid";"rj-uv"
" Vichy  Capital Soleil Hydra-Matte FPS50 - Protetor Solar Facial 30ml ";" Vichy ";"https://www.belezanaweb.com.br/vichy-capital-soleil-hydramatte-fps50-protetor-solar-facial-30ml/";"63,90";"Protetor solar para todos os tipos de pele, especialmente oleosas. Vichy Capital Soleil Hydra-Matte FPS50 protege e hidrata com efeito matte por até 12 horas.O Protetor Solar Vichy Capital Soleil Hydra-Matte FPS50 garante máxima proteção contra os nocivos raios UVA e UVB, com fórmula textura leve e resistente à água. Além disso, garante uma aparência bonita, com total na saúde para sua derme.";"Indicado pelo meu dermatologista simplesmente maravilhoso sofro com pele muito oleosa e acne e ele me ajuda muito. Pela seca e sem brilho por mais tempo.";"4.8";"05/09/2024 08:12:25";20.4;60;8;16.3;55;8;26;84;8;16.2;82;4;21.3;100;8
" Cosmobeauty  Pó com Filtro Compact Blur FPS 65 PPD 21+ 12g - Bege ";" Cosmobeauty ";"https://www.belezanaweb.com.br/mp159075-cosmobeauty-po-com-filtro-compact-blur-fps-65-ppd-21-12g-bege/";"174,99";"Pó Compacto com Alta Cobertura-Anti-Imperfeições Óptico-Efeito Mate-Previne o envelhecimento e o surgimento de hipercromias da pele causados pela ação danosa dos raios solares.O Cosmoblock Color Compacto Blur é um pó compacto tonalizante com alta cobertura que protege a pele dos efeitos nocivos da radiação solar. Apresenta uma textura leve, acetinada que se difunde na pele, promovendo alta cobertura com ação anti-imperfeições.O uso diário auxilia na prevenção do envelhecimento cutâneo causado pela exposição solar.Conceito Blur:Pó corretivo de acabamento impecável. Resulta em uma pele uniforme, com alta cobertura de imperfeições como um efeito Photoshop.ATIVOS– Partículas Soft Focus High Tech– PhysasunRentabilidade: Média de 90 aplicações";;"<!doctypehtml><htmldir=""ltr""lang=""pt-br""class=""""><head><metacharset=""UTF-8""><basehref=""/";"05/09/2024 08:12:25";20.4;60;8;16.3;55;8;26;84;8;16.2;82;4;21.3;100;8
" Creamy  Protetor Solar Watery Lotion FPS 60 - 50ml ";" Creamy ";"https://www.belezanaweb.com.br/mp147689-creamy-protetor-solar-watery-lotion-fps-60-50ml/";"60,80";;;"<!doctypehtml><htmldir=""ltr""lang=""pt-br""class=""""><head><metacharset=""UTF-8""><basehref=""/";"05/09/2024 08:12:25";20.4;60;8;16.3;55;8;26;84;8;16.2;82;4;21.3;100;8
" Cosmobeauty  Filtro Solar 18h Clarydefense FPS 50 PPD 20 50g ";" Cosmobeauty ";"https://www.belezanaweb.com.br/mp159063-cosmobeauty-filtro-solar-18h-clarydefense-fps-50-ppd-20-50g/";"179,00";"Vulcan Ice Clarydefense Protetor solar clareador, possui ação multifuncional especialmente desenvolvido para proteger e clarear peles que apresentam alterações pigmentares.Desenvolvido para proteger e clarear a pele acometida por hipercromias como: melasmas, hiperpigmentações pós inflamatórias, melanose solar, efélides e fotoenvelhecimento.Possui toque seco de rápida absorção, oferece tecnologia de proteção térmica evitando o envelhecimento e a sensibilização cutânea causados pela alta temperatura.Proteção solar FPS 50 e UVA 20 com 18 horas de proteção.Promove a uniformização do tom da peleTem ação dermoprotetora, clareadora e antipoluiçãoToque seco de rápida absorçãoATIVOSSepiwhite: Possui alta eficácia clareadora da pele e controla a síntese da melanina.Belides: Atua em todas as etapas da formação exacerbada da melanina, promovendo um clareamento efetivo sobre as hipercromias. Reduz os danos inflamatórios causados pela exposição solar.Physasun: Possui ação antioxidante e combate o stress térmico causado pela radiação UV. Previne o envelhecimento precoce e a degradação celular.Wonderlight: Reduz a distribuição e o aprofundamento das hipercromias cutâneas.EPS White: Atua na proteção cutânea contra o surgimento de manchas decorrentes da poluição.Potente clareador para hipercromias já existentes.Butylresorcinol: Atua eficazmente no clareamento da pele. É eficaz na inibição de enzimas importantes na formação da melanina.Água Vulcânica: Atua na hidratação e regeneração da pele.COMO USARAplicar uma camada uniforme em toda a pele, reaplicar se necessário.Rentabilidade: Média de 100 aplicações";;"<!doctypehtml><htmldir=""ltr""lang=""pt-br""class=""""><head><metacharset=""UTF-8""><basehref=""/";"05/09/2024 08:12:25";20.4;60;8;16.3;55;8;26;84;8;16.2;82;4;21.3;100;8
" Cosmobeauty  Pó com Filtro Compact Blur FPS 65 PPD 21+ 12g - Natural ";" Cosmobeauty ";"https://www.belezanaweb.com.br/mp159077-cosmobeauty-po-com-filtro-compact-blur-fps-65-ppd-21-12g-natural/";"174,99";"Pó Compacto com Alta Cobertura-Anti-Imperfeições Óptico-Efeito Mate-Previne o envelhecimento e o surgimento de hipercromias da pele causados pela ação danosa dos raios solares.O Cosmoblock Color Compacto Blur é um pó compacto tonalizante com alta cobertura que protege a pele dos efeitos nocivos da radiação solar. Apresenta uma textura leve, acetinada que se difunde na pele, promovendo alta cobertura com ação anti-imperfeições.O uso diário auxilia na prevenção do envelhecimento cutâneo causado pela exposição solar.Conceito Blur:Pó corretivo de acabamento impecável. Resulta em uma pele uniforme, com alta cobertura de imperfeições como um efeito Photoshop.ATIVOS– Partículas Soft Focus High Tech– PhysasunRentabilidade: Média de 90 aplicações";;"<!doctypehtml><htmldir=""ltr""lang=""pt-br""class=""""><head><metacharset=""UTF-8""><basehref=""/";"05/09/2024 08:12:25";20.4;60;8;16.3;55;8;26;84;8;16.2;82;4;21.3;100;8
" FQM  Protetor Solar Heliomax FPS 70 Médio Escuro 50g ";" FQM ";"https://www.belezanaweb.com.br/mp177111-protetor-solar-heliomax-fps-70-medio-escuro-50g/";"85,28";"Protetor Solar Heliomax FPS 70 Médio Escuro 50gHeliomax FPS 70 é um protetor solar em gel creme com cor para uso diário. Oferece muito alta proteção contra queimaduras solares e protege a pele contra danos causados pela exposição excessiva ao sol e luzes artificiais, com controle de oleosidade e brilho por 12 horas.Ação clareadora e uniformizadora.Alta cobertura de maquiagem.Não pesa e não craquela.Toque seco.Protege contra as luzes artificiais.Controla a oleosidade e brilho por 12 horas.Reduz a aparência dos poros.Efeito mate.Como usar: Aplicar antes de cada exposição solar. Reaplicar sempre que necessário.";;"<!doctypehtml><htmldir=""ltr""lang=""pt-br""class=""""><head><metacharset=""UTF-8""><basehref=""/";"05/09/2024 08:12:25";20.4;60;8;16.3;55;8;26;84;8;16.2;82;4;21.3;100;8
" Anasol  FPS 70 - Protetor Solar Facial 60g ";" Anasol ";"https://www.belezanaweb.com.br/anasol-fps-70-protetor-solar-facial-60g/";"47,16";"Protetor solar facial para todos os tipos de pele. Com fórmula oil free de toque seco, Anasol FPS 70 oferece alta proteção com rápida absorção.O Protetor Solar Anasol FPS 70 ajuda a prevenir queimaduras solares causadas por raios UVB, assim como manchas e rugas causadas por raios UVA.Contém argila que reduz a oleosidade da pele e ação hidratante da aloe vera associada às vitaminas E e B5, que neutralizam os radicais livres. É indicado para pele extremamente sensível a queimaduras solares. ";"Realmente deixa sequinho, porém o protetor é muito líquido";"4.9";"05/09/2024 08:12:25";20.4;60;8;16.3;55;8;26;84;8;16.2;82;4;21.3;100;8
" Anasol  FPS 70 - Protetor Solar Facial 60g ";" Anasol ";"https://www.belezanaweb.com.br/anasol-fps-70-protetor-solar-facial-60g/";"47,16";"Protetor solar facial para todos os tipos de pele. Com fórmula oil free de toque seco, Anasol FPS 70 oferece alta proteção com rápida absorção.O Protetor Solar Anasol FPS 70 ajuda a prevenir queimaduras solares causadas por raios UVB, assim como manchas e rugas causadas por raios UVA.Contém argila que reduz a oleosidade da pele e ação hidratante da aloe vera associada às vitaminas E e B5, que neutralizam os radicais livres. É indicado para pele extremamente sensível a queimaduras solares. ";"O fator principal para ter comprado foi ser Vegano, mas o efeito foi sensacional. Obrigada";"4.9";"05/09/2024 08:12:25";20.4;60;8;16.3;55;8;26;84;8;16.2;82;4;21.3;100;8
" Anasol  FPS 70 - Protetor Solar Facial 60g ";" Anasol ";"https://www.belezanaweb.com.br/anasol-fps-70-protetor-solar-facial-60g/";"47,16";"Protetor solar facial para todos os tipos de pele. Com fórmula oil free de toque seco, Anasol FPS 70 oferece alta proteção com rápida absorção.O Protetor Solar Anasol FPS 70 ajuda a prevenir queimaduras solares causadas por raios UVB, assim como manchas e rugas causadas por raios UVA.Contém argila que reduz a oleosidade da pele e ação hidratante da aloe vera associada às vitaminas E e B5, que neutralizam os radicais livres. É indicado para pele extremamente sensível a queimaduras solares. ";"Adoro os protetores solares da Anasol. São muito bons!!";"4.9";"05/09/2024 08:12:25";20.4;60;8;16.3;55;8;26;84;8;16.2;82;4;21.3;100;8
" Anasol  FPS 70 - Protetor Solar Facial 60g ";" Anasol ";"https://www.belezanaweb.com.br/anasol-fps-70-protetor-solar-facial-60g/";"47,16";"Protetor solar facial para todos os tipos de pele. Com fórmula oil free de toque seco, Anasol FPS 70 oferece alta proteção com rápida absorção.O Protetor Solar Anasol FPS 70 ajuda a prevenir queimaduras solares causadas por raios UVB, assim como manchas e rugas causadas por raios UVA.Contém argila que reduz a oleosidade da pele e ação hidratante da aloe vera associada às vitaminas E e B5, que neutralizam os radicais livres. É indicado para pele extremamente sensível a queimaduras solares. ";"gostei muito, embora não seja sequinho igual diz a embalagem (mas isso eu ja esperava), não deixa a pele branca o que é muito importante!!";"4.9";"05/09/2024 08:12:25";20.4;60;8;16.3;55;8;26;84;8;16.2;82;4;21.3;100;8
" Anasol  FPS 70 - Protetor Solar Facial 60g ";" Anasol ";"https://www.belezanaweb.com.br/anasol-fps-70-protetor-solar-facial-60g/";"47,16";"Protetor solar facial para todos os tipos de pele. Com fórmula oil free de toque seco, Anasol FPS 70 oferece alta proteção com rápida absorção.O Protetor Solar Anasol FPS 70 ajuda a prevenir queimaduras solares causadas por raios UVB, assim como manchas e rugas causadas por raios UVA.Contém argila que reduz a oleosidade da pele e ação hidratante da aloe vera associada às vitaminas E e B5, que neutralizam os radicais livres. É indicado para pele extremamente sensível a queimaduras solares. ";"Excelente produto.";"4.9";"05/09/2024 08:12:25";20.4;60;8;16.3;55;8;26;84;8;16.2;82;4;21.3;100;8
" Cosmobeauty  Blur O3 FPS 95 PPD 50 Bege Médio - Protetor Solar com Cor 50g ";" Cosmobeauty ";"https://www.belezanaweb.com.br/cosmobeauty-blur-o3-fps-95-ppd-50-bege-medio-protetor-solar-com-cor-50g/";"195,99";"Protetor solar com cor. Cosmobeauty Blur O3 confere alta proteção solar, estimula proteção do Colágeno na pele, reduzindo sinais da idade.O Protetor Solar com Cor Cosmobeauty Blur O3 é um grande sucesso da marca, por ser perfeito para te acompanhar no dia a dia, seja no trabalho, em casa ou na atividade física, pela sua resistência à água e ao suor. Sua fórmula contém ativos hidratantes e antioxidantes de alta performance que estimulam a vitalidade celular e promovem o disfarce instantâneo de rugas, linhas, poros dilatados, acne e desordens de pigmentação. Entrega uma cobertura perfeita, com toque seco e efeito matte maravilhoso na pele.";"Maravilhoso";"5";"05/09/2024 08:12:25";20.4;60;8;16.3;55;8;26;84;8;16.2;82;4;21.3;100;8
" Cosmobeauty  Blur O3 FPS 95 PPD 50 Natural - Protetor Solar com Cor 50g ";" Cosmobeauty ";"https://www.belezanaweb.com.br/cosmobeauty-blur-o3-fps-95-ppd-50-natural-protetor-solar-com-cor-50g/";"195,99";"Protetor solar com cor. Cosmobeauty Blur O3 confere alta proteção solar, estimula proteção do Colágeno na pele, reduzindo sinais da idade.O Protetor Solar com Cor Cosmobeauty Blur O3 é um grande sucesso da marca, por ser perfeito para te acompanhar no dia a dia, seja no trabalho, em casa ou na atividade física, pela sua resistência à água e ao suor. Sua fórmula contém ativos hidratantes e antioxidantes de alta performance que estimulam a vitalidade celular e promovem o disfarce instantâneo de rugas, linhas, poros dilatados, acne e desordens de pigmentação. Entrega uma cobertura perfeita, com toque seco e efeito matte maravilhoso na pele.";"Maravilhoso";"5";"05/09/2024 08:12:25";20.4;60;8;16.3;55;8;26;84;8;16.2;82;4;21.3;100;8
